20,100,2,1255.7
40,100,2,982.8
60,100,2,431.1
80,100,2,400.9
100,100,2,510
20,600,2,8229.7
40,600,2,5727.9
60,600,2,5596.8
80,600,2,2796.6
100,600,2,2450
20,1100,2,24830.7
40,1100,2,13277
60,1100,2,8929.6
80,1100,2,7011.2
100,1100,2,4340
20,1600,2,35808.3
40,1600,2,17557
60,1600,2,11720.4
80,1600,2,8811
100,1600,2,7190.6
20,2100,2,52576.5
40,2100,2,25801.9
60,2100,2,15423.6
80,2100,2,11604.1
100,2100,2,9618.5
20,2600,2,62816
40,2600,2,31485.2
60,2600,2,19760.2
80,2600,2,14712.1
100,2600,2,11423.3
20,3100,2,79709.5
40,3100,2,36219.9
60,3100,2,22876.4
80,3100,2,17636.1
100,3100,2,14596.6
20,3600,2,93270.4
40,3600,2,41080.7
60,3600,2,27694.1
80,3600,2,24026.4
100,3600,2,20015.9
20,4100,2,93059.9
40,4100,2,46101.2
60,4100,2,34664.6
80,4100,2,26800.3
100,4100,2,21365
20,4600,2,106118.1
40,4600,2,54207
60,4600,2,40292.7
80,4600,2,30254.7
100,4600,2,24978.4
20,5100,2,121211
40,5100,2,64290
60,5100,2,45082.1
80,5100,2,33784
100,5100,2,26158.8
20,5600,2,140939.1
40,5600,2,73178.3
60,5600,2,49924.6
80,5600,2,35564.3
100,5600,2,27701.6
20,6100,2,161966.3
40,6100,2,79069.7
60,6100,2,51198.6
80,6100,2,38957.1
100,6100,2,50824.6
20,6600,2,113399.1
40,6600,2,79372.3
60,6600,2,50640.7
80,6600,2,37282.9
100,6600,2,30824.5
20,7100,2,161720.7
40,7100,2,80017.3
60,7100,2,53223.5
80,7100,2,42926.2
100,7100,2,35906.8
20,7600,2,172498.7
40,7600,2,88851.1
60,7600,2,62331.7
80,7600,2,50538.8
100,7600,2,40424.8
20,8100,2,195498.8
40,8100,2,103863.8
60,8100,2,73208.5
80,8100,2,52506.6
100,8100,2,40851.1
20,8600,2,229120.4
40,8600,2,110522.1
60,8600,2,73477.4
80,8600,2,58559.7
100,8600,2,48513.2
20,9100,2,242327.6
40,9100,2,126230.2
60,9100,2,86222.1
80,9100,2,68163.3
100,9100,2,58169.8
20,9600,2,284674
40,9600,2,144096.9
60,9600,2,101394.1
80,9600,2,81403.8
100,9600,2,67904
20,10100,2,156272.3
40,10100,2,113887.4
60,10100,2,76610.6
80,10100,2,58938.8
100,10100,2,49679.8
20,100,8,908.1
40,100,8,424.2
60,100,8,413.4
80,100,8,373
