20,100,2,3,1255.7
40,100,2,2,982.8
60,100,2,1,431.1
80,100,2,1,400.9
100,100,2,1,510
20,600,2,15,8229.7
40,600,2,8,5727.9
60,600,2,5,5596.8
80,600,2,4,2796.6
100,600,2,3,2450
20,1100,2,28,24830.7
40,1100,2,14,13277
60,1100,2,10,8929.6
80,1100,2,7,7011.2
100,1100,2,6,4340
20,1600,2,40,35808.3
40,1600,2,20,17557
60,1600,2,14,11720.4
80,1600,2,10,8811
100,1600,2,8,7190.6
20,2100,2,53,52576.5
40,2100,2,27,25801.9
60,2100,2,18,15423.6
80,2100,2,14,11604.1
100,2100,2,11,9618.5
20,2600,2,65,62816
40,2600,2,33,31485.2
60,2600,2,22,19760.2
80,2600,2,17,14712.1
100,2600,2,13,11423.3
20,3100,2,78,79709.5
40,3100,2,39,36219.9
60,3100,2,26,22876.4
80,3100,2,20,17636.1
100,3100,2,16,14596.6
20,3600,2,90,93270.4
40,3600,2,45,41080.7
60,3600,2,30,27694.1
80,3600,2,23,24026.4
100,3600,2,18,20015.9
20,4100,2,103,93059.9
40,4100,2,52,46101.2
60,4100,2,35,34664.6
80,4100,2,26,26800.3
100,4100,2,21,21365
20,4600,2,115,106118.1
40,4600,2,58,54207
60,4600,2,39,40292.7
80,4600,2,29,30254.7
100,4600,2,23,24978.4
20,5100,2,128,121211
40,5100,2,64,64290
60,5100,2,43,45082.1
80,5100,2,32,33784
100,5100,2,26,26158.8
20,5600,2,140,140939.1
40,5600,2,70,73178.3
60,5600,2,47,49924.6
80,5600,2,35,35564.3
100,5600,2,28,27701.6
20,6100,2,153,161966.3
40,6100,2,77,79069.7
60,6100,2,51,51198.6
80,6100,2,39,38957.1
100,6100,2,31,50824.6
20,6600,2,165,113399.1
40,6600,2,83,79372.3
60,6600,2,55,50640.7
80,6600,2,42,37282.9
100,6600,2,33,30824.5
20,7100,2,178,161720.7
40,7100,2,89,80017.3
60,7100,2,60,53223.5
80,7100,2,45,42926.2
100,7100,2,36,35906.8
20,7600,2,190,172498.7
40,7600,2,95,88851.1
60,7600,2,64,62331.7
80,7600,2,48,50538.8
100,7600,2,38,40424.8
20,8100,2,203,195498.8
40,8100,2,102,103863.8
60,8100,2,68,73208.5
80,8100,2,51,52506.6
100,8100,2,41,40851.1
20,8600,2,215,229120.4
40,8600,2,108,110522.1
60,8600,2,72,73477.4
80,8600,2,54,58559.7
100,8600,2,43,48513.2
20,9100,2,228,242327.6
40,9100,2,114,126230.2
60,9100,2,76,86222.1
80,9100,2,57,68163.3
100,9100,2,46,58169.8
20,9600,2,240,284674
40,9600,2,120,144096.9
60,9600,2,80,101394.1
80,9600,2,60,81403.8
100,9600,2,48,67904
20,10100,2,253,156272.3
40,10100,2,127,113887.4
60,10100,2,85,76610.6
80,10100,2,64,58938.8
100,10100,2,51,49679.8
20,100,8,1,908.1
40,100,8,1,424.2
60,100,8,1,413.4
80,100,8,1,373
100,100,8,1,518.7
20,600,8,4,3413.4
40,600,8,2,2157.1
60,600,8,2,1622
80,600,8,1,889.2
100,600,8,1,1087.2
20,1100,8,7,5613.5
40,1100,8,4,3406.3
60,1100,8,3,2626.3
80,1100,8,2,2381.1
100,1100,8,2,2259.6
20,1600,8,10,7927.3
40,1600,8,5,4776
60,1600,8,4,3777.6
80,1600,8,3,3261.6
100,1600,8,2,2948.1
20,2100,8,14,10196.7
40,2100,8,7,6108.5
60,2100,8,5,4726.5
80,2100,8,4,3982.5
100,2100,8,3,3682.7
20,2600,8,17,12608.1
40,2600,8,9,7412.9
60,2600,8,6,5735.8
80,2600,8,5,4953.2
100,2600,8,4,4401
20,3100,8,20,14869.5
40,3100,8,10,8827.6
60,3100,8,7,6876.6
80,3100,8,5,5916.1
100,3100,8,4,5227.7
20,3600,8,23,18875.2
40,3600,8,12,10530.8
60,3600,8,8,8073.2
80,3600,8,6,6919.7
100,3600,8,5,6016.3
20,4100,8,26,20593.1
40,4100,8,13,11923.9
60,4100,8,9,9198.2
80,4100,8,7,7695.5
100,4100,8,6,6857.1
20,4600,8,29,23142.3
40,4600,8,15,13426
60,4600,8,10,10381.6
80,4600,8,8,8826.2
100,4600,8,6,7874.8
20,5100,8,32,25603.1
40,5100,8,16,13799.2
60,5100,8,11,10641
80,5100,8,8,9188.3
100,5100,8,7,8016.4
20,5600,8,35,26578.7
40,5600,8,18,15523
60,5600,8,12,12024.9
80,5600,8,9,10214.1
100,5600,8,7,9025.2
20,6100,8,39,34903.9
40,6100,8,20,22190.1
60,6100,8,13,17415.3
80,6100,8,10,14608.2
100,6100,8,8,13326.3
20,6600,8,42,42302.4
40,6600,8,21,24986.4
60,6600,8,14,19172.7
80,6600,8,11,16427.7
100,6600,8,9,14675.9
20,7100,8,45,48156.7
40,7100,8,23,27841.8
60,7100,8,15,21253.9
80,7100,8,12,18185.8
100,7100,8,9,16440.9
20,7600,8,48,54109.7
40,7600,8,24,31271.9
60,7600,8,16,23796.3
80,7600,8,12,20085.4
100,7600,8,10,17951.2
20,8100,8,51,61433.6
40,8100,8,26,34858.7
60,8100,8,17,26365.2
80,8100,8,13,22136
100,8100,8,11,19842.7
20,8600,8,54,71674
40,8600,8,27,39016.3
60,8600,8,18,29259.4
80,8600,8,14,24405.1
100,8600,8,11,21770.9
20,9100,8,57,80693.5
40,9100,8,29,45019.2
60,9100,8,19,32676.6
80,9100,8,15,26897.2
100,9100,8,12,23878.4
20,9600,8,60,49199.1
40,9600,8,30,29030.9
60,9600,8,20,22541.2
80,9600,8,15,19341.5
100,9600,8,12,17432.3
20,10100,8,64,65095.7
40,10100,8,32,38627.1
60,10100,8,22,29619.4
80,10100,8,16,25164.3
100,10100,8,13,22964.5
20,100,14,1,1153.2
40,100,14,1,780.3
60,100,14,1,561.4
80,100,14,1,459.4
100,100,14,1,746.4
20,600,14,3,4169.1
40,600,14,2,2612.3
60,600,14,1,1873.8
80,600,14,1,1338.9
100,600,14,1,1534.7
20,1100,14,4,6881.5
40,1100,14,2,4174.6
60,1100,14,2,3440.4
80,1100,14,1,2508.3
100,1100,14,1,2447.7
20,1600,14,6,9601.2
40,1600,14,3,6030.5
60,1600,14,2,4654.7
80,1600,14,2,4226.9
100,1600,14,2,3807.8
20,2100,14,8,12044.3
40,2100,14,4,7748.4
60,2100,14,3,6082.9
80,2100,14,2,4929.4
100,2100,14,2,4748.1
20,2600,14,10,14904.3
40,2600,14,5,9516.4
60,2600,14,4,7266.5
80,2600,14,3,6331.1
100,2600,14,2,5569
20,3100,14,12,17536.1
40,3100,14,6,11303.4
60,3100,14,4,8854.9
80,3100,14,3,7735.8
100,3100,14,3,6819.2
20,3600,14,13,14937.3
40,3600,14,7,9329.7
60,3600,14,5,7572.9
80,3600,14,4,6544.7
100,3600,14,3,5866.7
