20,100,2,399.3
40,100,2,205.0666667
60,100,2,96.6
80,100,2,99.3
100,100,2,93
20,600,2,3614.046667
40,600,2,2206.62
60,600,2,1374.65
80,600,2,1071.1
100,600,2,831.7833333
20,1100,2,10276.33091
40,1100,2,5115.478571
60,1100,2,3628.305263
80,1100,2,2557.757143
100,1100,2,1566.163636
20,1600,2,16454.4875
40,1600,2,7289.9
60,1600,2,4832.566667
80,1600,2,3448.535
100,1600,2,2886.9625
20,2100,2,24959.09048
40,2100,2,11470.56604
60,2100,2,6872.902857
80,2100,2,4963.966667
100,2100,2,4035.97619
20,2600,2,30071.95615
40,2600,2,14567.61538
60,2600,2,8795.559091
80,2600,2,6326.375758
100,2600,2,5030.115385
20,3100,2,37725.87032
40,3100,2,16810.52436
60,3100,2,10167.40385
80,3100,2,7921.576923
100,3100,2,6375.048387
20,3600,2,43832.37944
40,3600,2,18657.34444
60,3600,2,12761.23167
80,3600,2,10769.68444
100,3600,2,8942.552778
20,4100,2,43946.43171
40,4100,2,21396.72621
60,4100,2,15090.98696
80,4100,2,11620.90962
100,4100,2,9594.358537
20,4600,2,49697.75435
40,4600,2,25625.57913
60,4600,2,18391.98312
80,4600,2,13835.24138
100,4600,2,11243.11522
20,5100,2,57436.22549
40,5100,2,29519.17969
60,5100,2,20570.75765
80,5100,2,15708.55781
100,5100,2,12301.51961
20,5600,2,66997.75179
40,5600,2,34609.04214
60,5600,2,23086.89468
80,5600,2,16478.02714
100,5600,2,12989.54286
20,6100,2,77329.62131
40,6100,2,37524.3817
60,6100,2,24446.99804
80,6100,2,18451.3026
100,6100,2,24342.02131
20,6600,2,60202.57909
40,6600,2,39115.68545
60,6600,2,23572.66455
80,6600,2,17165.35301
100,6600,2,14332.86515
20,7100,2,78117.7293
40,7100,2,37800.84045
60,7100,2,24994.45966
80,7100,2,19903.94157
100,7100,2,16540.53099
20,7600,2,82280.08632
40,7600,2,41527.07526
60,7600,2,29154.68898
80,7600,2,23440.00947
100,7600,2,18271.36842
20,8100,2,93169.00741
40,8100,2,48985.70443
60,8100,2,34436.44815
80,8100,2,25075.21078
100,8100,2,19427.05185
20,8600,2,109283.3881
40,8600,2,52714.56698
60,8600,2,35032.47639
80,8600,2,28031.9713
100,8600,2,23400.43256
20,9100,2,116652.8222
40,9100,2,60088.79605
60,9100,2,41366.62763
80,9100,2,32661.83947
100,9100,2,27803.26813
20,9600,2,136574.304
40,9600,2,68291.3475
60,9600,2,48328.73563
80,9600,2,39194.77583
100,9600,2,32718.79792
20,10100,2,75841.3202
40,10100,2,53927.56798
60,10100,2,35777.22959
80,10100,2,27444.88504
100,10100,2,23430.29406
20,100,8,132.22
40,100,8,101.8
60,100,8,94.1
80,100,8,98.2
100,100,8,94.1
20,600,8,1092.55
40,600,8,502.4866667
60,600,8,235.15
80,600,8,113.1875
100,600,8,104.5333333
20,1100,8,2063.154545
40,1100,8,1119.664286
60,1100,8,722.9631579
80,1100,8,553.3571429
100,1100,8,365.2909091
20,1600,8,3003.85125
40,1600,8,1709.7375
60,1600,8,1227.622222
80,1600,8,910.425
100,1600,8,735.05625
20,2100,8,3910.297143
40,2100,8,2308.05283
60,2100,8,1664.12
80,2100,8,1358.377778
100,2100,8,1073.628571
20,2600,8,4942.853077
40,2600,8,2850.34
60,2600,8,2175.3
80,2600,8,1757.654545
100,2600,8,1426.442308
20,3100,8,5815.693548
40,3100,8,3496.385897
60,3100,8,2656.555769
80,3100,8,2178.541026
100,3100,8,1802.719355
20,3600,8,7471.116667
40,3600,8,4197.71
60,3600,8,3122.221667
80,3600,8,2608.953333
100,3600,8,2196.483333
20,4100,8,8238.96878
40,4100,8,4861.204854
60,4100,8,3729.628986
80,4100,8,3086.875
100,4100,8,2586.097561
20,4600,8,9399.569565
40,4600,8,5504.54
60,4600,8,4193.062338
80,4600,8,3553.67069
100,4600,8,3026.582609
20,5100,8,10118.72745
40,5100,8,5556.721875
60,5100,8,4250.068235
80,5100,8,3706.035938
100,5100,8,3114.564706
20,5600,8,10518.915
40,5600,8,6327.177143
60,5600,8,4930.119149
80,5600,8,4166.422857
100,5600,8,3576.7375
20,6100,8,14920.32066
40,6100,8,9676.669281
60,6100,8,7564.765686
80,6100,8,6345.058442
100,6100,8,5574.342623
20,6600,8,18563.27152
40,6600,8,10907.26545
60,6600,8,8313.125455
80,6600,8,7107.59759
100,6600,8,6184.416667
20,7100,8,21260.35127
40,7100,8,12360.27921
60,7100,8,9405.919328
80,7100,8,7954.021348
100,7100,8,7009.698592
20,7600,8,23959.03053
40,7600,8,13871.33368
60,7600,8,10486.98346
80,7600,8,8749.436842
100,7600,8,7814.668421
20,8100,8,27283.9158
40,8100,8,15603.84532
60,8100,8,11691.48519
80,8100,8,9864.565686
100,8100,8,8631.187654
20,8600,8,30646.52488
40,8600,8,17583.3814
60,8600,8,13130.76597
80,8600,8,10917.43241
100,8600,8,9528.661628
20,9100,8,35332.59055
40,9100,8,20285.14211
60,9100,8,14702.51579
80,9100,8,12120.06491
100,9100,8,10495.72418
20,9600,8,20288.78292
40,9600,8,12212.81917
60,9600,8,9553.375625
80,9600,8,8176.0575
100,9600,8,7329.663542
20,10100,8,27672.70317
40,10100,8,17248.11502
60,10100,8,13255.24142
80,10100,8,11312.04488
